Temperature,Rainfall,Humidity,Moisture,Crop
24,94,60,424,Wheat
17,48,60,401,Barley
21,88,39,328,chile
23,232,63,411,Rice
14,113,87,639,Tomato
21,67,53,431,Wheat
27,39,64,402,Barley
25,93,40,317,chile
21,181,80,398,Rice
16,101,79,469,Tomato
24,52,55,413,Wheat
10,49,69,388,Barley
22,88,40,367,chile
25,305,64,419,Rice
15,98,78,532,Tomato
21,75,57,413,Wheat
11,40,66,417,Barley
21,112,32,376,chile
25,217,65,400,Rice
16,77,86,567,Tomato
22,82,54,422,Wheat
18,50,60,421,Barley
22,80,36,364,chile
25,205,64,419,Rice
16,67,89,499,Tomato
21,60,54,415,Wheat
15,39,68,411,Barley
26,111,34,356,chile
26,316,70,410,Rice
13,135,89,480,Tomato
23,62,59,401,Wheat
27,48,61,430,Barley
19,99,38,364,chile
24,192,79,388,Rice
15,136,89,636,Tomato
23,55,58,436,Wheat
22,41,67,397,Barley
26,90,39,349,chile
24,347,65,399,Rice
14,109,85,650,Tomato
24,64,58,407,Wheat
23,45,66,402,Barley
22,82,31,359,chile
24,189,72,411,Rice
14,129,77,530,Tomato
22,42,57,437,Wheat
20,47,65,423,Barley
22,98,35,346,chile
26,328,78,411,Rice
13,132,82,644,Tomato
21,34,56,442,Wheat
19,39,62,426,Barley
22,105,31,370,chile
24,310,74,405,Rice
13,136,86,477,Tomato
21,86,52,426,Wheat
12,47,68,418,Barley
18,96,31,346,chile
25,267,62,396,Rice
15,80,82,644,Tomato
21,40,55,449,Wheat
22,45,68,416,Barley
18,105,39,362,chile
24,321,75,412,Rice
13,66,83,542,Tomato
24,88,51,400,Wheat
9,47,68,427,Barley
22,80,35,360,chile
24,276,65,396,Rice
13,81,83,523,Tomato
24,38,57,414,Wheat
10,44,64,389,Barley
22,87,32,319,chile
27,323,64,397,Rice
16,144,76,640,Tomato
22,84,50,448,Wheat
16,40,68,410,Barley
18,113,38,338,chile
22,269,66,427,Rice
13,126,85,633,Tomato
24,46,54,400,Wheat
24,41,68,429,Barley
18,120,37,319,chile
23,328,63,408,Rice
14,101,79,591,Tomato
22,96,58,434,Wheat
7,45,60,385,Barley
24,103,38,388,chile
22,345,69,428,Rice
16,85,85,643,Tomato
24,75,54,429,Wheat
10,48,65,390,Barley
26,85,37,364,chile
24,222,70,425,Rice
16,124,78,569,Tomato
23,85,55,408,Wheat
14,41,64,420,Barley
20,114,40,367,chile
26,302,80,406,Rice
15,86,81,649,Tomato
22,56,53,444,Wheat
20,47,65,427,Barley
23,102,40,373,chile
24,330,68,389,Rice
13,147,79,578,Tomato
24,56,53,433,Wheat
21,39,61,399,Barley
24,107,35,378,chile
22,213,80,399,Rice
16,128,77,456,Tomato
22,35,57,410,Wheat
27,49,64,396,Barley
22,110,39,360,chile
22,300,72,386,Rice
15,60,87,629,Tomato
22,62,57,443,Wheat
21,48,61,405,Barley
22,104,37,395,chile
21,251,67,383,Rice
15,88,83,517,Tomato
23,89,52,426,Wheat
7,50,68,382,Barley
22,91,38,305,chile
26,217,71,401,Rice
16,125,87,542,Tomato
21,96,57,430,Wheat
9,45,64,387,Barley
18,103,37,367,chile
26,346,78,389,Rice
16,67,85,588,Tomato
22,30,51,427,Wheat
7,39,61,414,Barley
23,106,39,312,chile
26,224,73,385,Rice
14,119,82,643,Tomato
23,55,50,429,Wheat
11,46,67,380,Barley
19,85,33,330,chile
24,237,73,398,Rice
15,136,85,484,Tomato
21,53,55,416,Wheat
20,39,67,428,Barley
21,88,32,301,chile
23,217,79,412,Rice
14,104,76,591,Tomato
21,33,52,445,Wheat
9,49,67,428,Barley
26,92,30,389,chile
22,258,72,415,Rice
15,147,83,516,Tomato
22,95,50,433,Wheat
17,48,67,414,Barley
20,96,33,335,chile
26,306,77,389,Rice
15,115,89,516,Tomato
22,32,50,444,Wheat
15,40,60,408,Barley
21,93,31,318,chile
25,261,77,411,Rice
14,124,85,598,Tomato
21,30,56,411,Wheat
17,41,61,394,Barley
23,104,40,395,chile
27,293,63,407,Rice
16,79,79,626,Tomato
23,57,59,445,Wheat
16,41,65,382,Barley
26,93,40,321,chile
22,228,78,399,Rice
15,111,80,644,Tomato
23,47,59,428,Wheat
22,42,64,394,Barley
18,110,38,311,chile
24,312,70,387,Rice
15,78,88,618,Tomato
24,71,56,423,Wheat
21,42,62,420,Barley
18,104,39,364,chile
24,300,77,427,Rice
13,128,75,599,Tomato
22,68,54,422,Wheat
18,45,68,392,Barley
23,84,34,323,chile
24,210,76,404,Rice
13,75,89,572,Tomato
21,51,51,425,Wheat
7,47,60,429,Barley
25,114,33,372,chile
27,230,66,413,Rice
15,94,77,623,Tomato
23,33,57,408,Wheat
13,44,61,409,Barley
21,90,39,385,chile
26,310,73,398,Rice
15,87,85,599,Tomato
23,94,55,407,Wheat
15,41,68,420,Barley
24,85,31,375,chile
24,223,66,402,Rice
13,63,83,622,Tomato
24,63,56,428,Wheat
19,43,60,428,Barley
24,86,35,347,chile
21,265,67,409,Rice
16,132,76,523,Tomato
22,41,55,439,Wheat
7,47,70,406,Barley
20,96,34,307,chile
21,318,79,392,Rice
13,138,80,509,Tomato
22,78,59,437,Wheat
23,40,66,398,Barley
20,84,33,334,chile
24,316,69,392,Rice
15,103,77,616,Tomato
21,79,55,428,Wheat
26,47,67,392,Barley
20,100,36,388,chile
25,236,64,417,Rice
15,101,79,554,Tomato
23,34,57,431,Wheat
21,43,63,407,Barley
23,96,34,364,chile
21,200,67,403,Rice
16,127,75,553,Tomato
22,33,54,416,Wheat
6,46,61,418,Barley
23,108,32,330,chile
25,323,80,400,Rice
13,103,85,536,Tomato
21,100,53,408,Wheat
22,39,66,419,Barley
19,100,30,315,chile
24,231,63,421,Rice
14,61,89,604,Tomato
21,91,57,447,Wheat
12,40,61,409,Barley
26,113,32,399,chile
22,320,70,384,Rice
16,115,80,596,Tomato
22,97,52,405,Wheat
19,40,68,430,Barley
19,87,39,320,chile
26,221,72,413,Rice
15,133,89,638,Tomato
21,36,56,450,Wheat
22,49,69,395,Barley
22,90,38,388,chile
25,267,66,393,Rice
14,84,86,646,Tomato
24,72,58,437,Wheat
26,50,64,399,Barley
18,110,30,309,chile
26,305,68,402,Rice
16,87,85,622,Tomato
24,37,50,424,Wheat
15,44,62,397,Barley
19,105,30,385,chile
26,244,77,404,Rice
15,81,75,567,Tomato
23,98,54,407,Wheat
24,47,62,385,Barley
18,101,33,350,chile
24,239,75,413,Rice
15,94,78,472,Tomato
22,67,55,408,Wheat
12,49,60,412,Barley
25,95,34,308,chile
23,253,78,421,Rice
15,87,88,481,Tomato
22,38,60,434,Wheat
21,41,60,418,Barley
23,92,30,398,chile
26,300,67,415,Rice
15,77,83,546,Tomato
22,100,52,435,Wheat
19,50,64,401,Barley
18,106,34,322,chile
22,347,79,419,Rice
16,146,80,533,Tomato
24,66,59,437,Wheat
13,41,60,381,Barley
25,116,34,326,chile
21,309,70,386,Rice
16,83,76,544,Tomato
23,56,50,426,Wheat
7,45,65,406,Barley
26,117,31,390,chile
23,323,60,396,Rice
16,143,75,479,Tomato
22,55,51,435,Wheat
7,47,62,380,Barley
21,84,38,392,chile
24,349,63,391,Rice
15,75,76,561,Tomato
22,67,58,449,Wheat
13,44,69,402,Barley
24,89,36,300,chile
26,265,76,401,Rice
16,98,90,630,Tomato
21,78,59,438,Wheat
25,45,68,402,Barley
24,113,30,352,chile
22,229,76,419,Rice
14,132,78,511,Tomato
21,57,58,426,Wheat
17,44,62,404,Barley
25,95,40,334,chile
24,267,65,430,Rice
14,109,76,470,Tomato
23,98,56,443,Wheat
27,49,70,381,Barley
19,111,34,353,chile
27,341,75,404,Rice
13,62,78,647,Tomato
24,85,50,444,Wheat
27,40,65,403,Barley
21,90,38,300,chile
25,217,70,418,Rice
14,131,89,564,Tomato
24,37,57,417,Wheat
20,47,62,397,Barley
19,91,40,377,chile
23,280,70,401,Rice
16,99,77,522,Tomato
23,97,53,436,Wheat
17,44,70,423,Barley
18,111,35,392,chile
25,317,74,417,Rice
13,131,84,474,Tomato
24,97,57,445,Wheat
10,44,69,417,Barley
24,95,38,324,chile
21,280,62,384,Rice
16,108,78,496,Tomato
24,54,57,412,Wheat
17,50,64,428,Barley
26,103,32,359,chile
27,280,72,418,Rice
15,128,87,529,Tomato
21,90,53,401,Wheat
12,49,68,381,Barley
25,119,30,349,chile
25,291,79,389,Rice
14,123,87,583,Tomato
23,96,51,440,Wheat
18,45,61,401,Barley
24,100,37,372,chile
22,217,69,393,Rice
14,75,85,483,Tomato
21,44,51,423,Wheat
23,48,67,430,Barley
25,113,35,302,chile
21,335,65,408,Rice
15,125,86,582,Tomato
23,59,55,429,Wheat
21,47,65,386,Barley
19,87,35,358,chile
24,203,67,401,Rice
15,117,75,500,Tomato
24,58,55,404,Wheat
10,43,68,430,Barley
20,89,30,318,chile
26,192,68,425,Rice
15,70,83,457,Tomato
23,49,52,423,Wheat
13,42,61,401,Barley
18,85,34,308,chile
23,296,71,400,Rice
16,109,75,483,Tomato
24,55,56,444,Wheat
12,47,67,384,Barley
22,86,37,341,chile
27,213,60,412,Rice
14,102,84,511,Tomato
24,46,52,410,Wheat
25,45,64,424,Barley
18,116,36,337,chile
22,343,71,420,Rice
14,82,88,479,Tomato
22,35,59,431,Wheat
14,48,64,419,Barley
24,120,32,337,chile
21,199,70,401,Rice
13,111,75,592,Tomato
23,79,53,434,Wheat
6,42,70,411,Barley
26,118,39,324,chile
27,192,64,394,Rice
15,134,88,620,Tomato
21,91,58,447,Wheat
27,43,66,409,Barley
23,110,34,392,chile
26,288,68,390,Rice
13,60,82,556,Tomato
24,59,51,440,Wheat
8,46,64,426,Barley
21,107,31,306,chile
24,251,65,401,Rice
16,117,78,618,Tomato
24,36,55,403,Wheat
12,48,65,425,Barley
24,105,33,313,chile
27,277,71,411,Rice
14,66,88,585,Tomato
21,94,53,436,Wheat
9,41,69,409,Barley
23,118,30,333,chile
24,301,67,416,Rice
15,103,86,498,Tomato
22,69,56,444,Wheat
18,42,65,402,Barley
25,104,34,390,chile
27,333,78,400,Rice
16,90,76,615,Tomato
24,57,58,423,Wheat
7,41,62,410,Barley
24,118,40,310,chile
26,238,67,414,Rice
16,147,85,484,Tomato
22,46,51,442,Wheat
16,50,69,393,Barley
24,109,38,392,chile
22,228,80,396,Rice
14,149,82,453,Tomato
23,91,54,404,Wheat
16,40,61,383,Barley
22,108,32,373,chile
25,279,75,414,Rice
15,143,86,482,Tomato
22,100,58,403,Wheat
18,42,66,410,Barley
26,108,35,356,chile
23,177,63,424,Rice
16,100,84,650,Tomato
24,84,56,439,Wheat
26,50,63,419,Barley
26,91,40,343,chile
24,333,61,384,Rice
16,90,84,504,Tomato
21,92,50,442,Wheat
21,49,64,426,Barley
21,102,36,354,chile
26,338,65,396,Rice
13,139,78,644,Tomato
23,95,52,448,Wheat
9,39,70,422,Barley
25,101,31,353,chile
22,194,60,394,Rice
16,123,85,634,Tomato
21,88,54,422,Wheat
6,47,66,406,Barley
20,86,36,350,chile
21,232,65,412,Rice
15,63,80,565,Tomato
23,63,60,437,Wheat
12,43,67,395,Barley
20,87,31,372,chile
26,270,64,430,Rice
16,83,76,577,Tomato
21,35,55,440,Wheat
8,44,64,411,Barley
25,89,34,321,chile
26,193,76,389,Rice
14,76,83,494,Tomato
21,70,60,442,Wheat
26,46,64,392,Barley
24,109,31,389,chile
22,266,64,407,Rice
15,87,75,558,Tomato
22,51,58,433,Wheat
27,42,64,417,Barley
25,109,32,384,chile
21,301,63,404,Rice
15,83,85,617,Tomato
21,67,60,448,Wheat
18,40,60,405,Barley
24,93,39,325,chile
21,324,62,411,Rice
14,66,90,503,Tomato
23,37,59,436,Wheat
27,41,62,393,Barley
25,112,32,399,chile
21,265,65,416,Rice
13,83,86,648,Tomato
24,97,53,439,Wheat
19,43,64,406,Barley
25,80,30,372,chile
23,225,65,388,Rice
16,60,87,606,Tomato
24,76,53,422,Wheat
18,40,66,420,Barley
20,104,35,348,chile
26,244,65,390,Rice
16,82,87,570,Tomato
23,88,60,417,Wheat
6,39,67,391,Barley
24,116,36,369,chile
24,297,64,406,Rice
14,138,88,528,Tomato
23,97,50,418,Wheat
13,43,67,426,Barley
21,114,35,398,chile
21,299,69,388,Rice
13,108,81,503,Tomato
23,35,59,443,Wheat
18,44,60,381,Barley
23,92,38,364,chile
24,268,76,415,Rice
16,111,77,548,Tomato
21,90,53,448,Wheat
9,49,63,424,Barley
23,116,35,330,chile
21,212,62,408,Rice
15,81,84,541,Tomato
22,47,57,405,Wheat
10,45,68,415,Barley
25,114,34,372,chile
21,345,72,410,Rice
14,123,87,603,Tomato
24,51,57,426,Wheat
15,45,64,385,Barley
24,105,30,372,chile
22,254,72,399,Rice
16,141,87,616,Tomato
24,42,52,408,Wheat
10,47,69,417,Barley
22,84,40,368,chile
24,350,69,418,Rice
14,82,80,644,Tomato
23,68,53,403,Wheat
20,48,68,409,Barley
20,119,34,383,chile
27,346,69,427,Rice
14,148,82,489,Tomato
21,51,52,429,Wheat
8,43,67,419,Barley
23,107,30,353,chile
25,205,70,420,Rice
13,115,81,510,Tomato
23,57,54,436,Wheat
22,40,66,430,Barley
26,109,32,327,chile
24,250,67,417,Rice
15,98,85,568,Tomato
24,67,56,444,Wheat
15,45,70,428,Barley
21,96,35,309,chile
27,220,60,425,Rice
14,107,83,507,Tomato
21,48,53,419,Wheat
19,43,60,417,Barley
19,116,32,382,chile
23,283,75,409,Rice
15,131,84,541,Tomato
21,48,55,419,Wheat
18,48,62,402,Barley
26,83,32,307,chile
26,350,79,423,Rice
15,129,76,630,Tomato
21,61,56,405,Wheat
25,47,63,393,Barley
25,103,30,324,chile
22,292,76,427,Rice
13,99,80,644,Tomato
21,79,51,440,Wheat
10,39,68,393,Barley
26,111,35,322,chile
24,302,71,422,Rice
16,127,79,622,Tomato
22,60,57,446,Wheat
16,46,64,384,Barley
24,110,40,351,chile
21,326,73,402,Rice
15,88,81,578,Tomato
23,62,58,405,Wheat
12,49,60,393,Barley
20,115,31,333,chile
27,258,75,430,Rice
13,64,77,567,Tomato
23,90,51,420,Wheat
8,39,61,406,Barley
19,119,34,300,chile
26,293,76,420,Rice
13,128,90,621,Tomato
22,77,59,430,Wheat
21,40,62,406,Barley
21,108,39,342,chile
27,244,74,428,Rice
14,83,90,597,Tomato
23,64,55,448,Wheat
9,50,64,403,Barley
21,118,35,315,chile
25,194,74,413,Rice
16,129,86,520,Tomato
21,40,56,414,Wheat
8,42,69,408,Barley
24,93,34,326,chile
21,328,67,393,Rice
15,141,87,555,Tomato
21,31,56,411,Wheat
10,50,67,414,Barley
19,103,36,393,chile
27,349,80,426,Rice
13,73,82,645,Tomato
21,88,58,445,Wheat
8,45,69,408,Barley
23,117,37,336,chile
25,340,79,411,Rice
14,119,86,471,Tomato
24,75,58,420,Wheat
17,46,63,423,Barley
26,83,37,323,chile
26,242,64,409,Rice
15,88,81,548,Tomato
23,95,59,408,Wheat
23,43,61,412,Barley
24,116,38,375,chile
26,295,79,397,Rice
15,139,81,621,Tomato
23,57,60,414,Wheat
20,43,60,420,Barley
22,88,36,340,chile
27,246,66,396,Rice
16,130,76,561,Tomato
22,60,51,443,Wheat
21,47,65,411,Barley
18,91,39,376,chile
27,332,68,421,Rice
16,85,87,525,Tomato
22,74,60,405,Wheat
25,46,64,423,Barley
20,100,34,399,chile
25,183,72,398,Rice
14,113,82,490,Tomato
22,43,54,400,Wheat
18,44,62,392,Barley
21,85,39,338,chile
24,277,69,420,Rice
13,127,75,521,Tomato
21,68,50,403,Wheat
17,42,69,405,Barley
18,108,34,388,chile
24,199,69,428,Rice
15,131,80,497,Tomato
21,94,55,420,Wheat
9,39,61,380,Barley
25,118,32,348,chile
27,341,64,419,Rice
16,120,84,581,Tomato
24,71,50,403,Wheat
7,42,68,406,Barley
20,81,32,334,chile
24,275,62,401,Rice
16,71,88,504,Tomato
24,32,50,429,Wheat
14,47,70,415,Barley
20,117,33,338,chile
24,320,68,414,Rice
13,70,77,621,Tomato
24,47,52,445,Wheat
5,43,60,398,Barley
18,93,37,399,chile
21,311,72,427,Rice
15,147,75,538,Tomato
24,97,59,436,Wheat
14,42,61,380,Barley
19,91,36,337,chile
24,249,74,384,Rice
16,83,90,551,Tomato
21,43,58,430,Wheat
27,39,60,398,Barley
19,112,31,341,chile
26,234,69,403,Rice
16,97,81,554,Tomato
23,89,52,437,Wheat
19,49,68,380,Barley
23,92,35,382,chile
22,231,65,415,Rice
13,127,82,580,Tomato
22,42,58,420,Wheat
25,45,68,395,Barley
25,119,40,395,chile
24,337,69,416,Rice
14,138,83,510,Tomato
23,47,58,416,Wheat
9,48,64,419,Barley
23,118,34,397,chile
22,282,61,423,Rice
15,102,80,634,Tomato
21,93,60,424,Wheat
25,45,66,390,Barley
23,100,30,376,chile
24,252,70,417,Rice
13,150,86,561,Tomato
21,100,59,424,Wheat
13,48,61,421,Barley
24,116,36,358,chile
24,264,63,392,Rice
15,149,76,465,Tomato
22,30,58,419,Wheat
12,41,64,385,Barley
24,120,33,301,chile
21,305,79,415,Rice
15,92,81,579,Tomato
22,78,52,409,Wheat
19,43,63,385,Barley
21,97,38,369,chile
25,305,77,426,Rice
14,132,77,495,Tomato
22,95,60,419,Wheat
10,41,62,395,Barley
19,116,40,383,chile
22,200,62,414,Rice
15,83,84,555,Tomato
24,50,55,423,Wheat
14,41,63,401,Barley
19,106,31,381,chile
22,217,74,428,Rice
16,109,75,504,Tomato
21,64,55,446,Wheat
21,44,64,422,Barley
19,103,35,349,chile
27,265,70,383,Rice
13,140,82,639,Tomato
24,59,50,403,Wheat
26,45,70,424,Barley
18,88,37,314,chile
25,253,74,415,Rice
15,144,79,592,Tomato
23,52,54,413,Wheat
14,48,60,415,Barley
20,120,33,381,chile
23,241,73,391,Rice
14,121,86,531,Tomato
24,99,54,424,Wheat
18,41,65,380,Barley
18,109,38,391,chile
21,313,78,388,Rice
15,132,88,602,Tomato
21,47,60,407,Wheat
5,43,66,380,Barley
21,87,31,367,chile
22,344,69,406,Rice
14,76,86,593,Tomato
21,66,53,441,Wheat
16,41,68,399,Barley
25,102,33,331,chile
27,311,72,411,Rice
14,145,80,453,Tomato
23,49,56,426,Wheat
15,41,70,382,Barley
20,80,39,318,chile
21,238,65,404,Rice
15,132,75,554,Tomato
23,31,59,418,Wheat
13,42,70,418,Barley
23,84,40,382,chile
26,208,76,430,Rice
15,113,81,461,Tomato
21,34,56,402,Wheat
27,43,67,395,Barley
26,108,36,393,chile
24,298,63,421,Rice
14,129,86,649,Tomato
23,99,52,421,Wheat
7,43,60,413,Barley
22,85,37,365,chile
27,229,63,400,Rice
13,62,85,586,Tomato
23,33,54,402,Wheat
14,48,60,426,Barley
25,108,33,321,chile
25,186,61,407,Rice
14,109,90,644,Tomato
23,88,50,410,Wheat
6,41,65,412,Barley
24,105,36,308,chile
26,283,69,408,Rice
13,100,77,552,Tomato
22,41,57,449,Wheat
8,43,65,424,Barley
20,117,39,318,chile
24,324,67,428,Rice
16,119,88,542,Tomato
24,58,60,432,Wheat
22,45,62,401,Barley
22,91,40,399,chile
24,210,71,384,Rice
16,150,75,458,Tomato
23,67,50,410,Wheat
7,46,63,406,Barley
21,85,38,328,chile
25,183,76,384,Rice
16,131,82,514,Tomato
24,80,57,410,Wheat
16,50,66,406,Barley
24,106,30,396,chile
22,337,79,419,Rice
14,129,77,555,Tomato
24,46,53,441,Wheat
21,45,62,388,Barley
25,107,37,369,chile
21,250,61,411,Rice
13,92,77,617,Tomato
24,79,60,439,Wheat
24,39,62,418,Barley
20,112,32,327,chile
27,285,66,418,Rice
14,136,83,592,Tomato
21,70,55,417,Wheat
9,43,66,400,Barley
22,104,34,378,chile
27,312,73,396,Rice
14,137,76,527,Tomato
24,60,51,435,Wheat
23,50,66,390,Barley
23,85,32,340,chile
24,319,75,397,Rice
16,104,78,471,Tomato
22,46,55,432,Wheat
12,50,61,392,Barley
23,97,37,391,chile
23,261,67,408,Rice
16,63,86,495,Tomato
21,73,60,410,Wheat
15,42,69,402,Barley
20,83,36,346,chile
24,279,63,402,Rice
16,83,86,544,Tomato
21,53,59,427,Wheat
26,47,67,400,Barley
20,94,32,366,chile
23,232,79,404,Rice
14,132,76,502,Tomato
22,75,59,411,Wheat
8,39,64,430,Barley
25,118,34,393,chile
27,273,64,415,Rice
13,93,81,567,Tomato
21,55,53,412,Wheat
12,50,64,390,Barley
21,90,31,334,chile
25,272,63,397,Rice
14,119,78,506,Tomato
23,75,59,446,Wheat
26,44,65,404,Barley
19,115,33,304,chile
27,176,80,388,Rice
16,101,82,498,Tomato
21,59,58,412,Wheat
6,43,61,388,Barley
18,93,40,300,chile
24,331,70,422,Rice
13,114,86,516,Tomato
21,33,51,412,Wheat
10,40,64,417,Barley
24,91,31,369,chile
23,196,62,414,Rice
13,114,78,539,Tomato
23,84,54,428,Wheat
26,44,61,426,Barley
25,119,34,399,chile
26,275,60,399,Rice
16,95,79,454,Tomato
22,38,57,428,Wheat
25,45,60,385,Barley
25,107,32,399,chile
25,183,68,428,Rice
16,138,86,509,Tomato
22,35,52,422,Wheat
27,45,68,410,Barley
18,89,31,361,chile
22,199,78,406,Rice
16,107,76,596,Tomato
23,86,56,439,Wheat
8,41,61,429,Barley
18,115,40,363,chile
23,176,64,428,Rice
13,60,87,501,Tomato
24,78,60,438,Wheat
5,42,65,428,Barley
21,85,30,396,chile
23,229,70,392,Rice
16,114,89,522,Tomato
23,100,53,438,Wheat
27,48,69,409,Barley
20,114,33,305,chile
27,201,68,392,Rice
13,105,75,560,Tomato
22,60,57,445,Wheat
14,47,70,412,Barley
20,85,40,387,chile
25,309,74,392,Rice
14,76,89,638,Tomato
22,61,52,418,Wheat
19,39,70,390,Barley
25,117,31,353,chile
24,324,75,386,Rice
16,78,85,456,Tomato
22,71,57,445,Wheat
24,45,68,419,Barley
24,90,36,366,chile
23,208,64,401,Rice
15,127,85,470,Tomato
24,64,51,411,Wheat
17,45,60,426,Barley
22,115,39,364,chile
25,227,67,383,Rice
15,139,80,507,Tomato
22,79,50,446,Wheat
21,48,67,414,Barley
21,90,31,340,chile
26,347,64,399,Rice
14,132,87,559,Tomato
21,43,52,426,Wheat
6,41,69,409,Barley
20,93,38,334,chile
22,176,61,414,Rice
16,150,83,610,Tomato
21,61,52,406,Wheat
19,43,68,422,Barley
25,80,34,332,chile
24,251,60,416,Rice
15,139,83,551,Tomato
23,84,51,438,Wheat
7,50,61,405,Barley
26,91,35,306,chile
25,289,62,408,Rice
13,73,84,571,Tomato
24,45,60,433,Wheat
9,39,69,391,Barley
25,115,38,331,chile
21,286,67,430,Rice
13,117,78,454,Tomato
23,89,58,407,Wheat
27,50,63,418,Barley
20,113,39,398,chile
27,218,69,400,Rice
13,74,90,518,Tomato
22,37,56,441,Wheat
5,44,60,411,Barley
25,116,35,349,chile
21,295,63,384,Rice
16,145,76,616,Tomato
24,96,60,404,Wheat
11,41,67,393,Barley
23,104,32,332,chile
27,254,71,397,Rice
13,91,77,528,Tomato
21,75,56,406,Wheat
8,44,68,425,Barley
24,91,40,346,chile
23,331,62,421,Rice
14,130,84,598,Tomato
22,86,53,421,Wheat
11,47,60,404,Barley
24,80,39,309,chile
22,309,79,416,Rice
16,63,86,453,Tomato
24,79,56,450,Wheat
19,42,62,419,Barley
23,115,38,369,chile
25,250,62,412,Rice
15,91,83,639,Tomato
24,61,58,404,Wheat
26,43,60,421,Barley
26,100,40,365,chile
27,224,70,387,Rice
15,130,79,486,Tomato
22,39,50,424,Wheat
22,47,64,382,Barley
25,94,35,358,chile
26,184,65,387,Rice
14,73,88,569,Tomato
24,81,58,420,Wheat
14,39,64,420,Barley
22,97,35,374,chile
24,232,60,394,Rice
15,122,80,469,Tomato
23,83,53,410,Wheat
14,44,60,402,Barley
26,117,37,340,chile
23,216,73,392,Rice
16,141,87,486,Tomato
23,92,53,403,Wheat
11,50,70,392,Barley
18,111,36,388,chile
25,256,74,427,Rice
14,84,88,608,Tomato
23,64,50,406,Wheat
7,46,66,421,Barley
21,101,34,346,chile
24,182,76,429,Rice
16,149,87,481,Tomato
23,82,58,417,Wheat
27,47,62,425,Barley
24,89,31,315,chile
27,248,67,404,Rice
15,124,88,616,Tomato
23,34,53,424,Wheat
23,42,62,386,Barley
22,114,32,346,chile
27,341,78,430,Rice
13,119,84,595,Tomato
24,79,51,421,Wheat
17,46,68,419,Barley
23,118,39,329,chile
26,309,73,390,Rice
16,125,79,517,Tomato
22,52,54,437,Wheat
